Hour,Consumption
0,1.076080422532617
1,1.189036200519625
2,0.9579206178250343
3,1.1836346367396309
4,1.3578050478970038
5,0.9390738467850317
6,1.884750606623513
7,2.9071120944205973
8,2.047457274547508
9,1.5109526776258322
10,2.8293197424418133
11,2.082577531163719
12,1.7806338166793574
13,2.4110790367828248
14,1.708914855213816
15,2.8638249097088617
16,2.0610668942333494
17,1.8564970107336534
18,1.2236443129260328
19,2.286786731863983
20,1.4235831267777885
21,1.025610426753821
22,2.2483210530655313
23,1.5967942979676912
